"model","parameter","group1","group2","mean_g1","mean_g2","diff_mean","diff_sd","hdi_lower","hdi_upper","prob_g1_greater","excludes_zero"
"pvl_delta","mu_A","HC","Amph",0.685891584677679,0.875029082816066,-0.189137498138388,0.0583045883774758,-0.304340870185867,-0.0766751246050751,0.00116666666666667,TRUE
"pvl_delta","mu_a","HC","Amph",0.0804302548960212,0.0515681109350815,0.0288621439609397,0.0317893318687664,-0.0345874005081411,0.0900348111244986,0.819333333333333,FALSE
"pvl_delta","mu_w","HC","Amph",0.595039583993701,0.474812193640416,0.120227390353285,0.160238188452923,-0.199785135675835,0.430818195549145,0.781291666666667,FALSE
"pvl_delta","mu_theta","HC","Amph",0.0302120176647138,0.0208785979026582,0.00933341976205562,0.0220073035801483,-0.0323921698282675,0.0513738705956213,0.651375,FALSE
"pvl_delta","mu_A","HC","Hero",0.685891584677679,0.630485037712275,0.0554065469654033,0.0549387989165794,-0.0467013147759856,0.164924998280222,0.840416666666667,FALSE
"pvl_delta","mu_a","HC","Hero",0.0804302548960212,0.475115309875981,-0.39468505497996,0.0964773897391738,-0.584586004860575,-0.206410644556417,0,TRUE
"pvl_delta","mu_w","HC","Hero",0.595039583993701,0.048946570424863,0.546093013568838,0.136294662526704,0.279810112331502,0.82054687558846,0.999958333333333,TRUE
"pvl_delta","mu_theta","HC","Hero",0.0302120176647138,0.0256809994329828,0.00453101823173103,0.0246193656053167,-0.0422684300999741,0.0526283811909166,0.575541666666667,FALSE
"pvl_delta","mu_A","Amph","Hero",0.875029082816066,0.630485037712275,0.244544045103791,0.060701806381715,0.12557713384092,0.363279848933051,1,TRUE
"pvl_delta","mu_a","Amph","Hero",0.0515681109350815,0.475115309875981,-0.4235471989409,0.0921664669482207,-0.603282655882071,-0.243439026794895,0,TRUE
"pvl_delta","mu_w","Amph","Hero",0.474812193640416,0.048946570424863,0.425865623215553,0.103886441747008,0.230565114803865,0.642735562254815,0.999916666666667,TRUE
"pvl_delta","mu_theta","Amph","Hero",0.0208785979026582,0.0256809994329828,-0.00480240153032459,0.0216138899223925,-0.0457966824337043,0.0375230170455875,0.428083333333333,FALSE
