"Model","Parameter","Group","Mean","CI_Lower","CI_Upper"
"EEF","theta","HC",0.13,0.004,0.462
"EEF","lambda","HC",0.207,0.008,0.698
"EEF","phi","HC",0.774,0.024,1.532
"EEF","beta","HC",0.288,0.026,0.518
"EEF","theta","Amph",0.196,0.005,0.728
"EEF","lambda","Amph",0.178,0.005,0.696
"EEF","phi","Amph",1.303,-0.161,2.559
"EEF","beta","Amph",0.218,0.014,0.441
"EEF","theta","Hero",0.054,0.002,0.172
"EEF","lambda","Hero",0.335,0.013,0.915
"EEF","phi","Hero",0.675,-1.12,2.229
"EEF","beta","Hero",0.312,0.044,0.506
"ORL","A_rew","HC",0.064,0.003,0.142
"ORL","A_pun","HC",0.027,0.002,0.055
"ORL","K","HC",0.611,0.034,1.467
"ORL","omega_F","HC",1.499,0.802,2.225
"ORL","omega_P","HC",-0.795,-1.677,0.067
"ORL","A_rew","Amph",0.068,0.004,0.136
"ORL","A_pun","Amph",0.012,0,0.032
"ORL","K","Amph",0.631,0.051,1.236
"ORL","omega_F","Amph",2.118,1.485,2.75
"ORL","omega_P","Amph",-1.274,-2.261,-0.295
"ORL","A_rew","Hero",0.106,0.009,0.187
"ORL","A_pun","Hero",0.01,0,0.028
"ORL","K","Hero",0.483,0.02,1.245
"ORL","omega_F","Hero",1.424,0.943,1.936
"ORL","omega_P","Hero",-0.566,-1.703,0.598
"PVL-Delta","A","HC",0.686,0.615,0.759
"PVL-Delta","a","HC",0.08,0.028,0.143
"PVL-Delta","w","HC",0.595,0.357,0.869
"PVL-Delta","theta","HC",0.03,0.002,0.065
"PVL-Delta","A","Amph",0.875,0.785,0.963
"PVL-Delta","a","Amph",0.052,0.03,0.078
"PVL-Delta","w","Amph",0.475,0.313,0.679
"PVL-Delta","theta","Amph",0.021,0.001,0.048
"PVL-Delta","A","Hero",0.63,0.552,0.706
"PVL-Delta","a","Hero",0.475,0.301,0.661
"PVL-Delta","w","Hero",0.049,0.001,0.16
"PVL-Delta","theta","Hero",0.026,0.001,0.063
